stock_id,time_id,target
0,5,0.004135767
0,11,0.001444587
0,16,0.002168189
0,31,0.002195261
0,62,0.001747216
0,72,0.004912227
0,97,0.00938772
0,103,0.004120083
0,109,0.002182459
0,123,0.002668598
0,128,0.003701991
0,146,0.00539732
0,147,0.002751333
0,152,0.00396911
0,157,0.005525141
0,159,0.002077241
0,169,0.003365368
0,207,0.007259612
0,211,0.001707473
0,213,0.002214351
0,218,0.001796378
0,227,0.004725858
0,229,0.001277659
0,232,0.004870531
0,250,0.002211638
0,254,0.010919602
0,256,0.002916824
0,266,0.004280034
0,273,0.001393926
0,289,0.003783707
0,297,0.002083402
0,303,0.004582544
0,309,0.001691769
0,310,0.012869252
0,317,0.002747106
0,319,0.002058631
0,325,0.005170933
0,326,0.010935037
0,335,0.005137742
0,337,0.002160358
0,358,0.008568275
0,371,0.014232399
0,373,0.003082968
0,380,0.003597421
0,381,0.001921296
0,411,0.001974728
0,420,0.009243536
0,424,0.001720014
0,427,0.013617774
0,436,0.003249349
0,438,0.002579156
0,454,0.000938068
0,465,0.002880884
0,468,0.001204106
0,487,0.006664945
0,493,0.005379238
0,506,0.003585084
0,535,0.002137522
0,536,0.004579577
0,539,0.004951779
0,545,0.003029
0,554,0.002269013
0,568,0.002475091
0,579,0.005459893
0,589,0.006106505
0,591,0.002963168
0,595,0.003572899
0,611,0.003344924
0,618,0.003712381
0,627,0.001669073
0,633,0.003344928
0,640,0.005404091
0,646,0.001743777
0,650,0.003519682
0,652,0.002660155
0,659,0.004072774
0,675,0.002822659
0,697,0.004976124
0,709,0.007917051
0,725,0.002688703
0,728,0.004434896
0,735,0.005339053
0,745,0.003768217
0,746,0.002005063
0,748,0.005180416
0,753,0.002352288
0,785,0.00706773
0,817,0.002264038
0,840,0.001518659
0,841,0.006054523
0,852,0.002178382
0,854,0.002805649
0,868,0.007507616
0,886,0.009442827
0,895,0.005044172
0,904,0.009820764
0,908,0.001356209
0,947,0.002198661
0,951,0.003939045
0,957,0.00243343
0,969,0.020376475
0,985,0.002026963
0,991,0.002923322
0,1000,0.001348062
0,1011,0.002477368
0,1016,0.001712621
0,1020,0.001645409
0,1022,0.002245342
0,1028,0.006163705
0,1037,0.005216111
0,1040,0.002371198
0,1057,0.002510988
0,1063,0.011031561
0,1070,0.001262977
0,1075,0.001232808
0,1100,0.002430755
0,1107,0.003990574
0,1119,0.002585941
0,1125,0.008573733
0,1128,0.002335644
0,1135,0.010631259
0,1142,0.001916992
